GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
310M100US10180,10180,"Abilene, TX Metro Area",60171,977,44007,1135,87.7,0.7,45944,1414,5.5,0.4,33788,5707,0.5,0.1,40461,10790,1.1,0.1,26896,6465,0.1,0.1,12500,19199,3.7,0.5,31734,4280,1.5,0.3,41250,11527,16.0,0.6,34330,2340,75.6,0.8,47688,1624,7.9,0.7,23469,2218,32.4,0.8,50331,2601,35.4,0.8,52947,2329,24.3,0.6,34658,1460,39647,992,55135,1344,44.8,1.1,51988,2607,55.2,1.1,57446,2264,75.1,1.4,65328,1964,19.9,1.2,26752,2129,5.0,0.8,34808,7488,20524,799,27055,1092,55.5,1.9,22843,1272,47.8,2.0,21568,1194,7.8,1.1,35317,7316,44.5,1.9,31596,1928,35.2,2.0,29164,2025,9.2,1.5,47621,10610,29.9,(X),(X),(X),29.9,(X),(X),(X),28.9,(X),(X),(X)
310M100US10420,10420,"Akron, OH Metro Area",282312,1433,49936,606,85.1,0.2,53278,624,12.0,0.2,27266,1304,0.1,0.1,31432,10671,1.5,0.1,53875,9990,0.0,0.1,-,**,0.2,0.1,53628,13776,1.1,0.1,33110,7929,1.1,0.1,39762,8800,84.2,0.3,53322,632,5.4,0.3,17058,864,31.1,0.3,55410,1100,40.8,0.3,61569,1137,22.7,0.2,36332,706,180199,1934,64107,744,42.3,0.6,62488,1643,57.7,0.6,64943,881,73.7,0.7,76858,1024,20.3,0.6,28656,1260,6.0,0.3,46262,3322,102113,1821,28750,744,53.3,1.0,24665,738,45.8,1.0,22771,788,7.5,0.4,42919,2232,46.7,1.0,33904,1428,37.6,0.8,30844,898,9.1,0.5,50795,2931,27.7,(X),(X),(X),27.2,(X),(X),(X),27.6,(X),(X),(X)
310M100US10500,10500,"Albany, GA Metro Area",58417,725,36216,1356,48.8,0.7,51402,1834,49.1,0.7,25155,1243,0.1,0.1,34135,18216,0.8,0.2,48654,10486,0.0,0.1,-,**,0.5,0.2,19925,8650,0.7,0.2,37813,6408,1.8,0.2,25391,9346,47.7,0.7,51737,1904,5.9,0.6,19034,3338,33.2,0.8,38080,3182,39.7,0.8,44038,1986,21.2,0.6,29621,1423,39054,941,45209,1771,42.4,1.3,37175,3468,57.6,1.3,49659,2008,61.1,1.7,62435,2318,31.7,1.6,22080,1147,7.2,1.0,29191,7595,19363,849,21207,1513,55.4,2.1,18641,1804,49.2,2.0,17726,1456,6.2,1.5,32561,12793,44.6,2.1,26082,2343,38.3,1.8,24482,4064,6.4,1.4,37070,10850,39.7,(X),(X),(X),39.1,(X),(X),(X),38.5,(X),(X),(X)
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",345468,1748,60841,663,88.3,0.2,63563,567,6.7,0.2,31967,2246,0.2,0.1,32500,12411,2.6,0.1,66171,8026,0.0,0.1,62656,27143,0.9,0.1,28825,3819,1.3,0.1,39426,7437,2.9,0.1,36183,3642,86.6,0.2,63859,575,3.9,0.2,25063,2181,32.2,0.4,65195,1277,41.4,0.3,74800,1152,22.5,0.2,39591,943,211112,2070,78506,959,43.2,0.6,76887,1733,56.8,0.6,79652,1233,75.8,0.6,92449,880,18.1,0.5,37426,1734,6.1,0.4,49212,2573,134356,1891,36328,545,53.7,0.7,31943,814,44.5,0.7,28377,815,9.1,0.6,63580,2581,46.3,0.7,42127,1106,35.5,0.7,36791,1067,10.8,0.5,64778,2525,24.6,(X),(X),(X),24.5,(X),(X),(X),23.5,(X),(X),(X)
310M100US10740,10740,"Albuquerque, NM Metro Area",343345,1358,48990,640,75.1,0.6,52712,716,2.6,0.1,41687,4332,4.2,0.2,40304,2261,1.7,0.1,54456,3517,0.1,0.1,31898,37838,13.9,0.5,37693,1781,2.4,0.2,40266,2994,39.7,0.4,40207,864,51.0,0.4,57983,1065,5.5,0.3,24384,1379,34.7,0.3,49715,1398,39.5,0.3,59912,1021,20.3,0.2,39537,968,219677,2143,60432,832,45.5,0.6,51684,1474,54.5,0.6,66272,1032,69.4,0.6,74452,1169,21.2,0.5,31286,1000,9.4,0.4,38903,1695,123668,2092,31473,593,52.7,0.8,28790,1163,44.0,0.9,25997,746,8.7,0.7,46131,2987,47.3,0.8,34530,1250,37.4,0.7,31105,761,9.9,0.6,51980,4747,29.2,(X),(X),(X),30.8,(X),(X),(X),24.6,(X),(X),(X)
310M100US10780,10780,"Alexandria, LA Metro Area",54815,872,40625,912,71.0,0.8,47217,1859,25.9,0.8,27428,1961,0.7,0.2,37125,15133,1.0,0.2,56912,25859,0.0,0.1,-,**,0.5,0.2,24531,50424,1.0,0.2,42868,7525,1.8,0.3,42316,5691,69.6,0.8,47351,1821,3.4,0.5,21844,3196,31.9,1.1,43933,1758,40.8,0.9,47012,2581,23.9,0.6,31804,1838,36737,934,50304,1487,44.3,1.3,44208,2617,55.7,1.3,53808,1942,69.1,1.4,64079,2166,25.0,1.3,23498,2008,5.9,0.8,35761,4147,18078,689,22935,1730,56.0,1.9,20482,1461,50.2,2.0,19235,1081,5.8,1.1,36544,10282,44.0,1.9,28338,2532,38.2,2.0,25391,3367,5.8,1.2,43224,4494,25.2,(X),(X),(X),27.0,(X),(X),(X),21.1,(X),(X),(X)
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",313438,1393,58111,674,89.3,0.3,59794,771,4.1,0.2,45101,3081,0.2,0.1,40786,14542,2.0,0.1,78636,9087,0.0,0.1,53393,21112,3.1,0.2,33066,5058,1.3,0.1,45074,5027,9.7,0.2,35424,1725,83.7,0.3,61656,851,2.7,0.2,28218,2788,31.4,0.3,65582,1246,41.7,0.3,72052,1223,24.2,0.2,35379,676,215608,1913,70759,879,43.4,0.5,70812,1348,56.6,0.5,70722,1175,76.4,0.6,82486,933,17.1,0.6,33797,1302,6.4,0.4,49767,1927,97830,1700,32280,609,55.6,0.9,27030,704,47.4,0.8,23944,792,8.2,0.6,55493,3568,44.4,0.9,39756,1118,34.8,0.8,34861,1245,9.6,0.7,65656,3200,25.3,(X),(X),(X),25.5,(X),(X),(X),22.9,(X),(X),(X)
310M100US11020,11020,"Altoona, PA Metro Area",51490,515,42687,1027,97.8,0.3,43111,1114,1.4,0.3,19792,4630,0.1,0.1,65435,52299,0.3,0.1,52361,22201,0.0,0.1,-,**,0.1,0.1,31000,25619,0.4,0.1,38047,26018,0.7,0.1,37625,27425,97.2,0.3,43119,1117,3.7,0.5,22515,4005,28.1,0.7,50908,1857,40.0,0.7,56076,1714,28.2,0.6,27510,1136,33355,701,55152,1181,39.7,1.2,52417,2164,60.3,1.2,56543,1325,75.1,1.4,62768,1449,17.6,1.2,27140,2609,7.2,0.9,38418,5302,18135,652,22394,729,56.9,2.0,19806,859,50.4,2.1,18460,811,6.6,1.0,46042,8585,43.1,2.0,27417,2586,35.0,2.2,24751,1751,8.0,1.2,45515,12845,26.3,(X),(X),(X),27.0,(X),(X),(X),23.9,(X),(X),(X)
310M100US11100,11100,"Amarillo, TX Metro Area",92747,832,47866,909,88.0,0.6,49709,970,5.0,0.3,26549,2651,0.7,0.1,50268,19211,2.0,0.2,46165,6144,0.0,0.1,30417,27118,2.7,0.4,37313,8719,1.6,0.3,40714,6532,18.5,0.5,35047,2098,73.2,0.6,53240,1108,7.0,0.5,21890,1977,35.5,0.6,50691,1509,37.5,0.6,57910,1658,20.0,0.4,36594,2046,61874,946,59603,1358,46.5,1.0,55274,3047,53.5,1.0,62990,1996,73.7,1.3,71800,2389,19.2,0.9,28339,2137,7.1,0.8,41667,6524,30873,803,26503,1037,52.5,1.4,22368,1189,46.0,1.6,20996,921,6.5,1.0,39018,7197,47.5,1.4,29850,1520,38.9,1.5,27701,1474,8.5,1.1,43654,11877,28.0,(X),(X),(X),28.4,(X),(X),(X),25.9,(X),(X),(X)
