2017 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2018),2017 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,401.84,439.49," 1,335,304 "
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,385.05,421.13," 1,056,893 "
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,365.82,400.10," 927,009 "
4,DEN,Denver International,Denver,CO,320.91,350.98," 924,348 "
5,SFO,San Francisco International,San Francisco,CA,408.14,446.38," 880,955 "
6,BOS,Logan International,Boston,MA,371.25,406.04," 845,358 "
7,SEA,Seattle/Tacoma International,Seattle,WA,382.80,418.67," 822,078 "
8,EWR,Newark Liberty International,Newark,NJ,477.06,521.76," 763,357 "
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,430.71,471.07," 749,130 "
10,JFK,John F. Kennedy International,New York-JFK,NY,398.11,435.41," 701,240 "
11,LGA,LaGuardia,New York-La Guardia,NY,354.44,387.65," 692,812 "
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,331.83,362.92," 656,841 "
13,MCO,Orlando International,Orlando,FL,278.43,304.52," 643,954 "
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,437.25,478.22," 587,623 "
15,LAS,McCarran International,Las Vegas,NV,269.62,294.89," 579,417 "
16,PHL,Philadelphia International,Philadelphia,PA,399.08,436.47," 558,969 "
17,DTW,Detroit Metro Wayne County,Detroit,MI,404.96,442.90," 524,392 "
18,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,325.01,355.46," 518,978 "
19,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,377.23,412.58," 509,837 "
20,SAN,San Diego International,San Diego,CA,357.14,390.60," 508,963 "
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,271.59,297.04," 501,029 "
22,PDX,Portland International,Portland,OR,365.16,399.37," 453,215 "
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,506.86,554.35," 435,037 "
24,TPA,Tampa International,Tampa,FL,318.83,348.70," 409,530 "
25,MDW,Chicago Midway International,Chicago-Midway,IL,298.74,326.73," 379,949 "
26,SLC,Salt Lake City International,Salt Lake City,UT,396.08,433.19," 353,331 "
27,AUS,Austin - Bergstrom International,Austin,TX,383.05,418.94," 344,361 "
28,CLT,Charlotte Douglas International,Charlotte,NC,407.82,446.03," 341,816 "
29,MIA,Miami International,Miami,FL,367.52,401.95," 334,603 "
30,OAK,Metropolitan Oakland International,Oakland,CA,293.23,320.71," 331,392 "
31,SJC,Norman Y. Mineta San Jose International,San Jose,CA,335.84,367.31," 318,869 "
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,355.79,389.13," 302,881 "
33,STL,St Louis Lambert International,St. Louis,MO,355.45,388.75," 299,224 "
34,SMF,Sacramento International,Sacramento,CA,348.61,381.28," 297,876 "
35,BNA,Nashville International,Nashville,TN,368.31,402.82," 291,612 "
36,MCI,Kansas City International,Kansas City,MO,349.95,382.75," 290,737 "
37,DAL,Dallas Love Field,Dallas-Love Field,TX,282.95,309.46," 290,677 "
38,HNL,Daniel K Inouye International,Honolulu,HI,347.29,379.83," 273,695 "
39,IAD,Washington Dulles International,Washington-Dulles,DC,496.18,542.68," 262,006 "
40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,363.38,397.43," 252,550 "
41,IND,Indianapolis International,Indianapolis,IN,382.54,418.39," 247,029 "
42,CLE,Cleveland-Hopkins International,Cleveland,OH,451.91,494.25," 245,227 "
43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,360.48,394.26," 244,266 "
44,PIT,Pittsburgh International,Pittsburgh,PA,365.66,399.93," 235,675 "
45,HOU,William P Hobby,Houston-Hobby,TX,325.82,356.35," 234,578 "
46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,524.95,574.14," 207,564 "
47,CMH,John Glenn Columbus International,Columbus,OH,370.68,405.41," 206,681 "
48,SAT,San Antonio International,San Antonio,TX,377.14,412.48," 205,456 "
49,MKE,General Mitchell International,Milwaukee,WI,322.28,352.47," 201,461 "
50,BDL,Bradley International,Hartford,CT,406.41,444.49," 195,532 "
51,SJU,Luis Munoz Marin International,San Juan,PR,294.15,321.72," 182,250 "
52,RSW,Southwest Florida International,Fort Myers,FL,311.24,340.41," 154,405 "
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,321.43,351.55," 140,220 "
54,BUR,Bob Hope,Burbank,CA,278.93,305.07," 137,977 "
55,BUF,Buffalo Niagara International,Buffalo,NY,321.87,352.03," 137,344 "
56,JAX,Jacksonville International,Jacksonville,FL,368.72,403.27," 135,713 "
57,ONT,Ontario International,Ontario,CA,335.51,366.94," 132,215 "
58,OMA,Eppley Airfield,Omaha,NE,373.22,408.19," 125,950 "
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,356.19,389.57," 118,125 "
60,PVD,Theodore Francis Green State,Providence,RI,361.05,394.88," 112,582 "
61,MEM,Memphis International,Memphis,TN,498.61,545.33," 111,458 "
62,RIC,Richmond International,Richmond,VA,412.02,450.63," 104,812 "
63,OKC,Will Rogers World,Oklahoma City,OK,409.85,448.25," 101,378 "
64,LGB,Long Beach Airport,Long Beach,CA,230.22,251.79," 99,479 "
65,BOI,Boise Air Terminal,Boise,ID,388.09,424.46," 95,225 "
66,ANC,Ted Stevens Anchorage International,Anchorage,AK,581.81,636.33," 95,149 "
67,GEG,Spokane International,Spokane,WA,365.56,399.81," 93,940 "
68,ORF,Norfolk International,Norfolk,VA,405.88,443.91," 92,869 "
69,RNO,Reno/Tahoe International,Reno,NV,332.74,363.92," 91,142 "
70,SDF,Louisville International-Standiford Field,Louisville,KY,395.55,432.61," 87,608 "
71,CHS,Charleston AFB/International,Charleston,SC,432.11,472.60," 87,444 "
72,TUS,Tucson International,Tucson,AZ,362.85,396.85," 85,343 "
73,OGG,Kahului Airport,Kahului,HI,258.21,282.40," 84,905 "
74,GRR,Gerald R. Ford International,Grand Rapids,MI,445.80,487.57," 82,132 "
75,ALB,Albany International,Albany,NY,418.25,457.43," 82,079 "
76,ELP,El Paso International,El Paso,TX,381.97,417.76," 78,349 "
77,TUL,Tulsa International,Tulsa,OK,432.94,473.51," 74,208 "
78,DSM,Des Moines International,Des Moines,IA,413.05,451.75," 73,798 "
79,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,392.89,429.70," 71,427 "
80,ROC,Greater Rochester International,Rochester,NY,350.35,383.18," 71,138 "
81,MHT,Manchester-Boston Regional,Manchester,NH,366.97,401.35," 59,223 "
82,SYR,Syracuse Hancock International,Syracuse,NY,420.96,460.40," 58,751 "
83,GSP,Greenville-Spartanburg International,Greer,SC,396.30,433.43," 55,066 "
84,MSN,Dane County Regional-Truax Field,Madison,WI,457.93,500.83," 53,603 "
85,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,388.55,424.95," 52,233 "
86,DAY,James M Cox/Dayton International,Dayton,OH,368.54,403.07," 51,612 "
87,PWM,Portland International Jetport,Portland,ME,401.89,439.55," 49,004 "
88,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,260.24,284.62," 48,523 "
89,TYS,McGhee Tyson,Knoxville,TN,447.67,489.62," 48,345 "
90,SFB,Orlando Sanford International,Sanford,FL,133.95,146.50," 47,691 "
91,SAV,Savannah/Hilton Head International,Savannah,GA,481.72,526.85," 47,437 "
92,GSO,Piedmont Triad International,Greensboro/High Point,NC,415.66,454.60," 46,702 "
93,HPN,Westchester County,White Plains,NY,360.84,394.66," 46,281 "
94,LIH,Lihue Airport,Lihue,HI,235.14,257.18," 45,375 "
95,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,398.14,435.44," 44,363 "
96,COS,City of Colorado Springs Municipal,Colorado Springs,CO,390.11,426.66," 43,588 "
97,PIE,St Pete Clearwater International,St. Petersburg,FL,144.68,158.24," 40,456 "
98,PNS,Pensacola International,Pensacola,FL,433.94,474.60," 39,876 "
99,ISP,Long Island MacArthur,Islip,NY,305.83,334.49," 39,313 "
100,FAT,Fresno Yosemite International,Fresno,CA,407.46,445.64," 38,012 "
101,CAK,Akron-Canton Regional,Akron,OH,319.88,349.85," 35,194 "
102,XNA,Northwest Arkansas Regional,Fayetteville,AR,526.03,575.31," 34,089 "
103,MYR,Myrtle Beach International,Myrtle Beach,SC,285.27,312.00," 33,600 "
104,LEX,Blue Grass,Lexington,KY,427.35,467.39," 33,379 "
105,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,450.24,492.42," 32,362 "
106,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,149.19,163.17," 32,285 "
107,MDT,Harrisburg International,Harrisburg,PA,448.03,490.02," 32,270 "
108,FSD,Joe Foss Field,Sioux Falls,SD,412.32,450.95," 31,353 "
109,PSP,Palm Springs International,Palm Springs,CA,384.73,420.78," 31,126 "
110,BTV,Burlington International,Burlington,VT,431.34,471.75," 30,510 "
111,EUG,Mahlon Sweet Field,Eugene,OR,381.00,416.70," 30,385 "
112,CHA,Lovell Field,Chattanooga,TN,431.54,471.98," 28,308 "
113,BLI,Bellingham International,Bellingham,WA,265.28,290.13," 27,278 "
114,ACY,Atlantic City International,Atlantic City,NJ,153.27,167.63," 27,183 "
115,ITO,Hilo International,Hilo,HI,216.70,237.00," 26,698 "
116,MAF,Midland International Air and Space Port,Midland/Odessa,TX,386.32,422.52," 26,606 "
117,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,517.18,565.64," 26,494 "
118,CAE,Columbia Metropolitan,Columbia,SC,506.37,553.82," 26,348 "
119,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,339.52,371.33," 25,813 "
120,SGF,Springfield-Branson National,Springfield,MO,452.91,495.35," 25,513 "
121,FNT,Bishop International,Flint,MI,372.96,407.90," 25,134 "
122,MFR,Rogue Valley International - Medford,Medford,OR,389.39,425.87," 24,945 "
123,BZN,Bozeman Yellowstone International,Bozeman,MT,431.80,472.26," 24,582 "
124,PGD,Punta Gorda Airport,Punta Gorda,FL,125.33,137.07," 24,310 "
125,ILM,Wilmington International,Wilmington,NC,428.57,468.73," 24,210 "
126,LBB,Lubbock Preston Smith International,Lubbock,TX,378.06,413.48," 24,103 "
127,FAI,Fairbanks International,Fairbanks,AK,581.78,636.29," 23,906 "
128,AVL,Asheville Regional,Asheville,NC,452.74,495.16," 23,495 "
129,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,432.28,472.78," 23,438 "
130,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,508.16,555.78," 22,935 "
131,TTN,Trenton Mercer,Trenton,NJ,172.66,188.84," 22,906 "
132,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,403.49,441.30," 22,242 "
133,FAR,Hector International,Fargo,ND,492.45,538.60," 22,161 "
134,FWA,Fort Wayne International,Fort Wayne,IN,442.09,483.51," 21,926 "
135,BIL,Billings Logan International,Billings,MT,409.14,447.48," 21,101 "
136,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,398.34,435.66," 20,761 "
137,PIA,General Downing - Peoria International,Peoria,IL,407.07,445.21," 20,461 "
138,MSO,Missoula International,Missoula,MT,445.24,486.96," 20,404 "
139,CHO,Charlottesville Albemarle,Charlottesville,VA,471.48,515.66," 20,235 "
140,RDM,Roberts Field,Bend/Redmond,OR,381.97,417.76," 19,987 "
141,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,456.12,498.86," 19,938 "
142,MLI,Quad City International,Moline,IL,426.97,466.97," 19,894 "
143,MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,433.11,473.69," 18,630 "
144,SBN,South Bend International,South Bend,IN,420.40,459.79," 18,542 "
145,DAB,Daytona Beach International,Daytona Beach,FL,351.15,384.06," 17,821 "
146,AGS,Augusta Regional at Bush Field,Augusta,GA,431.51,471.94," 17,550 "
147,STT,Cyril E King,Charlotte Amalie,VI,359.89,393.61," 17,449 "
148,AMA,Rick Husband Amarillo International,Amarillo,TX,379.29,414.83," 17,378 "
149,SBA,Santa Barbara Municipal,Santa Barbara,CA,438.28,479.34," 17,068 "
150,TLH,Tallahassee International,Tallahassee,FL,497.37,543.97," 16,993 "
151,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,468.13,511.99," 16,977 "
152,ECP,Northwest Florida Beaches International,Panama City,FL,397.25,434.47," 16,923 "
153,CRP,Corpus Christi International,Corpus Christi,TX,463.90,507.37," 16,555 "
154,ATW,Appleton International,Appleton,WI,521.68,570.56," 16,459 "
155,BIS,Bismarck Municipal,Bismarck/Mandan,ND,487.66,533.35," 16,036 "
156,ROA,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,500.09,546.94," 15,763 "
157,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,471.94,516.16," 14,449 "
158,BQN,Rafael Hernandez,Aguadilla,PR,244.35,267.25," 14,346 "
159,BGR,Bangor International,Bangor,ME,442.22,483.65," 14,099 "
160,GRB,Green Bay Austin Straubel International,Green Bay,WI,576.44,630.45," 14,022 "
